Date,Open,High,Low,Close,Volume,Company
2021-03-25,1869.3218,1875.7032,1809.5651,1816.6302,309621,RELIANCE.BSE
2021-03-24,1896.6704,1896.6704,1860.4335,1866.3590,307569,RELIANCE.BSE
2021-03-23,1881.5831,1923.4264,1875.4297,1904.4192,578793,RELIANCE.BSE
2021-03-22,1891.6109,1891.6109,1854.1433,1879.6231,317137,RELIANCE.BSE
2021-03-19,1812.5735,1909.8433,1806.1010,1897.9011,729355,RELIANCE.BSE
2021-03-18,1888.0556,1900.7271,1824.1511,1831.8998,975274,RELIANCE.BSE
2021-03-17,1914.4014,1917.8200,1855.4652,1873.5153,243197,RELIANCE.BSE
2021-03-16,1927.8934,1937.9212,1910.8005,1914.8116,223111,RELIANCE.BSE
2021-03-15,1949.6355,1958.8885,1896.9895,1922.3781,513109,RELIANCE.BSE
2021-03-12,2004.6518,2010.1215,1935.9612,1949.6355,298281,RELIANCE.BSE
2021-03-10,2015.5912,2019.9214,1978.3515,1988.8807,249199,RELIANCE.BSE
2021-03-09,2005.5634,2018.9642,1956.5182,1996.6295,312285,RELIANCE.BSE
2021-03-08,1979.5822,2033.8236,1977.7134,1996.8574,375048,RELIANCE.BSE
2021-03-05,1976.3915,2016.9586,1964.5405,1986.0091,430447,RELIANCE.BSE
2021-03-04,1987.0575,1996.1281,1967.2754,1983.4110,1316695,RELIANCE.BSE
2021-03-03,1934.1836,2023.7958,1920.9651,2006.7941,1101111,RELIANCE.BSE
2021-03-02,1936.2803,1941.7500,1904.6015,1920.0535,269778,RELIANCE.BSE
2021-03-01,1927.5743,1927.5743,1880.8538,1915.4498,366701,RELIANCE.BSE
2021-02-26,1922.6060,1944.8495,1887.1896,1899.6788,902603,RELIANCE.BSE
2021-02-25,1894.3458,1962.0335,1887.9644,1955.2876,2401302,RELIANCE.BSE
2021-02-24,1846.7592,1897.5364,1823.7408,1882.9961,1580996,RELIANCE.BSE
2021-02-23,1848.7648,1871.6464,1835.8198,1845.3462,420916,RELIANCE.BSE
2021-02-22,1896.1690,1905.0117,1818.7725,1829.9854,649015,RELIANCE.BSE
2021-02-19,1882.4947,1918.9139,1876.1134,1896.6704,398673,RELIANCE.BSE
2021-02-18,1901.4108,1921.4209,1877.6631,1882.9505,298538,RELIANCE.BSE
2021-02-17,1876.1134,1909.8433,1869.5953,1898.6760,692483,RELIANCE.BSE
2021-02-16,1859.7042,1895.2574,1857.4252,1877.6176,361465,RELIANCE.BSE
2021-02-15,1867.9088,1878.4380,1846.3946,1852.9582,325784,RELIANCE.BSE
2021-02-12,1877.6631,1893.8900,1837.4151,1860.8438,640628,RELIANCE.BSE
2021-02-11,1802.6824,1879.9422,1796.9848,1873.8799,1942646,RELIANCE.BSE
